t,theta1,theta2,omega1,omega2,tau1,tau2,alpha1_pred,alpha2_pred
0.306,-0.22458664402389528,0.8172417896614081,-1.8898974533081054,4.398915884017948,1.0,0.0,-3.982811689376831,7.514400005340576
0.308,-0.228382370177269,0.8260696790294654,-1.8978630766868592,4.413944684028629,1.0,0.0,-3.956507444381714,7.4131340980529785
0.31,-0.23219392236042025,0.8349272209339148,-1.9057760915756226,4.428770952224735,1.0,0.0,-3.9296045303344727,7.311280250549316
0.312,-0.23602119296169283,0.8438140079593665,-1.9136353006362914,4.443393512725834,1.0,0.0,-3.9021196365356445,7.208943843841553
0.314,-0.23986407204151156,0.8527296307601935,-1.9214395399093627,4.457811400413517,1.0,0.0,-3.874063014984131,7.106139183044434
0.316,-0.24372244737339022,0.8616736781177526,-1.929187665939331,4.472023678779606,1.0,0.0,-3.8454573154449463,7.002920627593994
0.318,-0.24759620453453066,0.8706457371578222,-1.9368785805702209,4.486029520034794,1.0,0.0,-3.8163294792175293,6.899346828460693
0.32,-0.25148522701358794,0.8796453935852057,-1.944511239528656,4.499828213691716,1.0,0.0,-3.786700487136841,6.795505046844482
0.322,-0.2553893962945938,0.8886722320327765,-1.9520846405029295,4.513419223785405,1.0,0.0,-3.7565910816192627,6.691458702087402
0.324,-0.2593085919399261,0.8977258363151556,-1.959597822666168,4.52680214118958,1.0,0.0,-3.7260608673095703,6.587273120880127
0.326,-0.26324269182872767,0.9068057896900182,-1.9670499444007872,4.5399766874313405,1.0,0.0,-3.6951351165771484,6.48304557800293
0.328,-0.26719157225799556,0.915911675247193,-1.9744402146339415,4.552942778587346,1.0,0.0,-3.6638593673706055,6.378839015960693
0.33,-0.2711551081247329,0.9250430761604315,-1.9817679333686826,4.565700456619267,1.0,0.0,-3.6322810649871826,6.274783134460449
0.332,-0.2751331731157302,0.9341995762062079,-1.989032495498657,4.578250022888188,1.0,0.0,-3.600450038909912,6.170931816101074
0.334,-0.27912563990688316,0.9433807599792486,-1.9962333955764768,4.59059188652039,1.0,0.0,-3.568397283554077,6.067388534545898
0.336,-0.2831323802871703,0.9525862133064276,-2.003370190143585,4.602726663589482,1.0,0.0,-3.536189317703247,5.964247703552246
0.338,-0.2871532654247283,0.9618155236244207,-2.0104425687789917,4.6146551589965865,1.0,0.0,-3.503877639770508,5.86161994934082
0.34,-0.29118816607284537,0.9710682804222113,-2.0174503240585326,4.626378398895268,1.0,0.0,-3.471508026123047,5.759572982788086
0.342,-0.29523695275306694,0.9803440755119329,-2.0243933401107785,4.637897544860844,1.0,0.0,-3.439140558242798,5.658200740814209
0.34400000000000003,-0.29929949599552147,0.9896425034046179,-2.031271621227264,4.649213946342472,1.0,0.0,-3.4068186283111572,5.557610034942627
0.34600000000000003,-0.30337566651248926,0.9989631617374426,-2.0380852584838864,4.660329166412358,1.0,0.0,-3.374596118927002,5.457849502563477
0.34800000000000003,-0.3074653354139327,1.0083056514682776,-2.0448344507217406,4.671244865417485,1.0,0.0,-3.34252667427063,5.359023094177246
0.35000000000000003,-0.3115683744220733,1.0176695772914892,-2.051519504070282,4.681962911605839,1.0,0.0,-3.310654401779175,5.2612152099609375
0.352,-0.315684656047821,1.0270545479755406,-2.05814081287384,4.692485342025761,1.0,0.0,-3.2790305614471436,5.164482116699219
0.354,-0.31981405379581446,1.036460176588059,-2.0646988739967345,4.702814306259159,1.0,0.0,-3.2477049827575684,5.068887710571289
0.356,-0.32395644236373894,1.0458860807514196,-2.0711942839622495,4.712952081680302,1.0,0.0,-3.216717004776001,4.974490642547607
0.358,-0.3281116977996825,1.0553318828773504,-2.0776277179718017,4.722901062965398,1.0,0.0,-3.186108112335205,4.881354808807373
0.36,-0.33227969766807547,1.0647972104225163,-2.083999934196472,4.732663772583012,1.0,0.0,-3.155928134918213,4.789515018463135
0.362,-0.3364603212490081,1.0742816960277561,-2.0903117904663087,4.742242802619939,1.0,0.0,-3.126185178756714,4.699044227600098
0.364,-0.34065344957065574,1.0837849778099065,-2.096564160823822,4.751640891075139,1.0,0.0,-3.0969395637512207,4.609918594360352
0.366,-0.3448589656505584,1.0933066992664342,-2.1027580399513246,4.76086072826386,1.0,0.0,-3.068211555480957,4.522190570831299
0.368,-0.34907675457668297,1.1028465094852453,-2.1088944630622866,4.7699051094055225,1.0,0.0,-3.0400431156158447,4.4359025955200195
0.37,-0.35330670367527,1.1124040633144385,-2.1149745492935184,4.778776914596563,1.0,0.0,-3.0124359130859375,4.351037502288818
0.372,-0.35754870251750936,1.121979021293641,-2.12099942111969,4.78747898960114,1.0,0.0,-2.9854252338409424,4.267635345458984
0.374,-0.3618026430606841,1.131571049814225,-2.126970271587372,4.796014260292058,1.0,0.0,-2.959036111831665,4.185666084289551
0.376,-0.3660684197483062,1.1411798209991464,-2.1328883438110355,4.804385592460637,1.0,0.0,-2.9332704544067383,4.105136394500732
0.378,-0.37034592951774586,1.1508050127296456,-2.138754884719849,4.812595865249638,1.0,0.0,-2.9081554412841797,4.026018142700195
0.38,-0.3746350719089507,1.1604463085327157,-2.1445711956024174,4.820647901535039,1.0,0.0,-2.8836843967437744,3.9483277797698975
0.382,-0.37893574903774246,1.1701033976469049,-2.1503385643959048,4.828544557094578,1.0,0.0,-2.8598744869232178,3.872020721435547
0.384,-0.383247865664482,1.1797759748439798,-2.1560583133697513,4.8362885985374495,1.0,0.0,-2.836731433868408,3.7970757484436035
0.386,-0.387571329216957,1.1894637403440484,-2.161731776237488,4.843882750034337,1.0,0.0,-2.8142573833465576,3.7234904766082764
0.388,-0.3919060497989653,1.1991663998060236,-2.167360291004181,4.851329730987553,1.0,0.0,-2.792450428009033,3.6511895656585693
0.39,-0.3962519401826857,1.2088836640262612,-2.172945191860199,4.85863211011887,1.0,0.0,-2.771314859390259,3.5801494121551514
0.392,-0.4006089158258437,1.2186152488441475,-2.1784878215789796,4.86579240894318,1.0,0.0,-2.7508440017700195,3.5103278160095215
0.394,-0.4049768948450087,1.228360874973298,-2.1839895095825197,4.872813064575198,1.0,0.0,-2.731031894683838,3.4417083263397217
0.396,-0.4093557979917525,1.2381202679357537,-2.1894515733718873,4.879696481227878,1.0,0.0,-2.711874485015869,3.374206304550171
0.398,-0.4137455486364363,1.2478931577234276,-2.194875322341919,4.886444893836979,1.0,0.0,-2.6933529376983643,3.30780291557312
0.4,-0.41814607269287096,1.2576792787227637,-2.200262028217316,4.893060499668125,1.0,0.0,-2.6754696369171143,3.242446184158325
0.402,-0.42255729862785324,1.2674783695068366,-2.20561296749115,4.899545392036441,1.0,0.0,-2.6582138538360596,3.178044557571411
0.404,-0.4269791574182509,1.2772901724691397,-2.2109293951988223,4.905901481151584,1.0,0.0,-2.6415669918060303,3.114609956741333
0.406,-0.43141158247661576,1.28711443387127,-2.2162125291824344,4.912130701065067,1.0,0.0,-2.6255416870117188,3.0520548820495605
0.40800000000000003,-0.4358545097017287,1.2969509034929283,-2.221463612556458,4.918234810829166,1.0,0.0,-2.6100881099700928,2.990346908569336
0.41000000000000003,-0.44030787727928145,1.3067993345022209,-2.226683788776398,4.9242155046463045,1.0,0.0,-2.595212459564209,2.929405689239502
